Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200318:1830,0.0,0.0,27.39,0.21,0.0
20200318:1930,0.0,0.0,26.95,0.48,0.0
20200318:2030,0.0,0.0,26.44,0.69,0.0
20200318:2130,0.0,0.0,25.91,0.83,0.0
20200318:2230,0.0,0.0,25.57,0.9,0.0
20200318:2330,0.0,0.0,25.33,0.9,0.0
20200319:0030,0.0,0.0,25.09,0.9,0.0
20200319:0130,64.72,6.74,24.88,0.9,0.0
20200319:0230,259.36,21.49,26.05,0.48,0.0
20200319:0330,478.94,36.18,28.61,0.41,0.0
20200319:0430,639.14,50.7,30.6,0.48,0.0
20200319:0530,672.08,64.77,32.25,0.34,0.0
20200319:0630,532.62,76.79,33.3,0.69,0.0
20200319:0730,778.0,77.43,33.81,1.1,0.0
20200319:0830,575.89,65.77,34.85,1.45,0.0
20200319:0930,579.58,51.77,34.51,1.86,0.0
20200319:1030,382.38,37.27,33.68,2.55,0.0
20200319:1130,206.07,22.59,31.86,2.76,0.0
20200319:1230,58.75,7.84,30.64,2.34,0.0
20200319:1330,0.0,0.0,29.57,1.79,0.0
20200319:1430,0.0,0.0,28.68,1.38,0.0
20200319:1530,0.0,0.0,28.09,0.14,0.0
20200319:1630,0.0,0.0,26.35,0.97,0.0
20200319:1730,0.0,0.0,25.41,0.83,0.0
20200319:1830,0.0,0.0,25.36,0.62,0.0
20200319:1930,0.0,0.0,25.42,0.69,0.0
20200319:2030,0.0,0.0,25.23,0.55,0.0
20200319:2130,0.0,0.0,24.93,0.69,0.0
20200319:2230,0.0,0.0,24.72,0.83,0.0
20200319:2330,0.0,0.0,24.34,0.83,0.0
20200320:0030,0.0,0.0,24.06,0.83,0.0
20200320:0130,65.78,6.88,24.0,0.9,0.0
20200320:0230,237.86,21.64,24.46,0.34,0.0
20200320:0330,467.66,36.34,26.74,0.41,0.0
20200320:0430,617.56,50.88,28.71,0.55,0.0
20200320:0530,707.72,65.0,31.0,0.97,0.0
20200320:0630,734.97,77.15,32.26,1.24,0.0
20200320:0730,708.85,77.72,33.04,1.66,0.0
20200320:0830,742.08,65.88,33.44,2.0,0.0
20200320:0930,560.86,51.81,33.23,1.72,0.0
20200320:1030,364.54,37.28,33.2,1.45,0.0
20200320:1130,246.25,22.59,32.15,1.52,0.0
20200320:1230,64.1,7.84,31.03,2.07,0.0
20200320:1330,0.0,0.0,29.75,1.86,0.0
20200320:1430,0.0,0.0,28.71,1.45,0.0
20200320:1530,0.0,0.0,27.93,1.1,0.0
20200320:1630,0.0,0.0,27.23,0.55,0.0
20200320:1730,0.0,0.0,27.45,0.34,0.0
20200320:1830,0.0,0.0,27.0,0.41,0.0
20200320:1930,0.0,0.0,26.32,0.69,0.0
20200320:2030,0.0,0.0,25.94,0.76,0.0
20200320:2130,0.0,0.0,25.7,0.9,0.0
20200320:2230,0.0,0.0,25.78,1.03,0.0
20200320:2330,0.0,0.0,25.32,0.97,0.0
20200321:0030,0.0,0.0,25.08,0.97,0.0
20200321:0130,61.66,7.03,24.99,1.03,0.0
20200321:0230,257.77,21.79,25.55,0.55,0.0
20200321:0330,477.88,36.5,28.5,0.21,0.0
20200321:0430,649.92,51.07,30.58,0.28,0.0
20200321:0530,744.04,65.23,32.39,0.62,0.0
20200321:0630,715.74,77.51,33.8,0.83,0.0
20200321:0730,741.73,78.0,33.88,0.83,0.0
20200321:0830,663.26,65.97,34.48,1.03,0.0
20200321:0930,545.88,51.85,34.79,1.24,0.0
20200321:1030,319.01,37.29,34.92,1.45,0.0
20200321:1130,129.89,22.59,32.91,1.31,0.0
20200321:1230,33.41,7.83,30.13,1.31,0.0
20200321:1330,0.0,0.0,28.27,0.97,0.0
20200321:1430,0.0,0.0,27.94,0.69,0.0
20200321:1530,0.0,0.0,27.42,0.28,0.0
20200321:1630,0.0,0.0,26.99,1.03,0.0
20200321:1730,0.0,0.0,26.39,1.24,0.0
20200321:1830,0.0,0.0,25.89,0.83,0.0
20200321:1930,0.0,0.0,24.76,0.41,0.0
20200321:2030,0.0,0.0,24.71,0.21,0.0
20200321:2130,0.0,0.0,24.84,0.28,0.0
20200321:2230,0.0,0.0,24.53,0.83,0.0
20200321:2330,0.0,0.0,23.95,0.9,0.0
20200322:0030,0.0,0.0,23.97,1.1,0.0
20200322:0130,47.49,7.17,23.95,1.1,0.0
20200322:0230,242.12,21.94,24.44,0.83,0.0
20200322:0330,417.36,36.66,26.44,0.48,0.0
20200322:0430,580.9,51.25,28.09,0.14,0.0
20200322:0530,687.48,65.46,30.07,0.48,0.0
20200322:0630,612.06,77.86,31.74,1.1,0.0
20200322:0730,815.03,78.27,31.52,1.45,0.0
20200322:0830,561.31,66.07,33.05,1.59,0.0
20200322:0930,523.3,51.88,32.63,2.07,0.0
20200322:1030,372.11,37.3,32.79,1.72,0.0
20200322:1130,211.8,22.58,32.16,1.79,0.0
20200322:1230,55.09,7.82,31.19,2.0,0.0
20200322:1330,0.0,0.0,29.97,1.45,0.0
20200322:1430,0.0,0.0,28.94,1.31,0.0
20200322:1530,0.0,0.0,28.11,1.1,0.0
20200322:1630,0.0,0.0,27.5,0.83,0.0
20200322:1730,0.0,0.0,27.09,0.9,0.0
20200322:1830,0.0,0.0,26.75,0.83,0.0
20200322:1930,0.0,0.0,26.27,0.62,0.0
20200322:2030,0.0,0.0,26.26,0.83,0.0
20200322:2130,0.0,0.0,25.56,0.69,0.0
20200322:2230,0.0,0.0,25.55,0.69,0.0
20200322:2330,0.0,0.0,25.39,0.76,0.0
20200323:0030,0.0,0.0,25.33,0.9,0.0
20200323:0130,55.02,7.32,25.08,1.03,0.0
20200323:0230,210.27,22.09,25.61,0.55,0.0
20200323:0330,443.35,36.81,27.29,0.48,0.0
20200323:0430,594.77,51.42,29.41,0.28,0.0
20200323:0530,683.89,65.68,31.46,0.48,0.0
20200323:0630,744.31,78.21,32.75,0.69,0.0
20200323:0730,593.09,78.54,33.64,0.9,0.0
20200323:0830,637.98,66.15,33.34,1.24,0.0
20200323:0930,487.74,51.91,34.12,1.66,0.0
20200323:1030,330.99,37.3,32.7,1.59,0.0
20200323:1130,120.9,22.58,29.64,1.38,0.0
20200323:1230,33.46,7.81,28.5,1.1,0.0
20200323:1330,0.0,0.0,27.57,0.28,0.0
20200323:1430,0.0,0.0,26.59,0.55,0.0
20200323:1530,0.0,0.0,26.28,0.83,0.0
20200323:1630,0.0,0.0,26.05,0.83,0.0
20200323:1730,0.0,0.0,25.96,0.83,0.0
20200323:1830,0.0,0.0,25.76,0.97,0.0
20200323:1930,0.0,0.0,25.3,0.69,0.0
20200323:2030,0.0,0.0,25.13,0.62,0.0
20200323:2130,0.0,0.0,25.18,0.76,0.0
20200323:2230,0.0,0.0,24.99,0.9,0.0
20200323:2330,0.0,0.0,24.64,0.97,0.0
20200324:0030,0.0,-7.31,24.41,0.97,0.0
20200324:0130,47.42,7.46,24.19,1.03,0.0
20200324:0230,185.81,22.23,24.64,0.76,0.0
20200324:0330,380.08,36.97,26.25,0.48,0.0
20200324:0430,546.98,51.6,28.5,0.14,0.0
20200324:0530,638.03,65.9,30.24,0.62,0.0
20200324:0630,750.05,78.56,31.65,1.17,0.0
20200324:0730,635.65,78.79,32.63,1.31,0.0
20200324:0830,638.99,66.23,31.22,1.1,0.0
20200324:0930,381.53,51.93,30.94,1.31,0.0
20200324:1030,205.62,37.31,30.01,0.9,0.0
20200324:1130,164.18,22.57,28.78,1.03,0.0
20200324:1230,38.64,7.8,27.76,1.17,0.0
20200324:1330,0.0,0.0,27.22,0.41,0.0
20200324:1430,0.0,0.0,26.73,0.69,0.0
20200324:1530,0.0,0.0,26.2,0.34,0.0
20200324:1630,0.0,0.0,26.21,0.28,0.0
20200324:1730,0.0,0.0,26.06,0.55,0.0
20200324:1830,0.0,0.0,25.66,0.28,0.0
20200324:1930,0.0,0.0,25.51,0.34,0.0
20200324:2030,0.0,0.0,25.23,0.55,0.0
20200324:2130,0.0,0.0,25.08,0.97,0.0
20200324:2230,0.0,0.0,24.64,0.9,0.0
20200324:2330,0.0,0.0,24.3,0.76,0.0
20200325:0030,0.0,-7.16,24.3,1.1,0.0
20200325:0130,52.07,7.61,23.88,0.9,0.0
20200325:0230,217.85,22.38,24.6,0.34,0.0
20200325:0330,414.05,37.12,25.86,0.07,0.0
20200325:0430,596.65,51.77,27.58,0.34,0.0
20200325:0530,676.24,66.12,29.68,0.48,0.0
20200325:0630,679.13,78.91,30.88,0.83,0.0
20200325:0730,682.91,79.04,31.15,1.31,0.0
20200325:0830,693.84,66.3,31.16,1.79,0.0
20200325:0930,448.11,51.95,30.86,1.72,0.0
20200325:1030,346.65,37.31,30.61,1.86,0.0
20200325:1130,179.24,22.56,30.25,2.07,0.0
20200325:1230,48.91,7.79,29.27,1.59,0.0
20200325:1330,0.0,0.0,28.02,1.1,0.0
20200325:1430,0.0,0.0,27.05,1.59,0.0
20200325:1530,0.0,0.0,26.51,1.17,0.0
20200325:1630,0.0,0.0,26.14,0.83,0.0
20200325:1730,0.0,0.0,25.74,0.55,0.0
20200325:1830,0.0,0.0,25.55,0.76,0.0
20200325:1930,0.0,0.0,25.43,0.48,0.0
20200325:2030,0.0,0.0,25.12,0.55,0.0
20200325:2130,0.0,0.0,24.45,0.76,0.0
20200325:2230,0.0,0.0,24.15,0.9,0.0
20200325:2330,0.0,0.0,23.84,0.76,0.0
20200326:0030,0.0,-7.01,23.58,0.69,0.0
20200326:0130,61.4,7.75,23.27,0.83,0.0
20200326:0230,241.62,22.53,24.39,0.76,0.0
20200326:0330,444.5,37.27,26.75,0.55,0.0
20200326:0430,641.87,51.94,28.87,0.21,0.0
20200326:0530,741.31,66.33,30.85,0.41,0.0
20200326:0630,740.82,79.25,32.36,0.62,0.0
20200326:0730,726.05,79.27,33.1,1.03,0.0
20200326:0830,636.64,66.36,33.39,1.59,0.0
20200326:0930,488.33,51.97,32.8,1.93,0.0
20200326:1030,379.75,37.3,31.92,2.62,0.0
20200326:1130,184.71,22.55,30.99,2.48,0.0
20200326:1230,54.93,7.78,29.82,2.0,0.0
20200326:1330,0.0,0.0,28.76,1.03,0.0
20200326:1430,0.0,0.0,27.79,0.41,0.0
20200326:1530,0.0,0.0,27.6,1.03,0.0
20200326:1630,0.0,0.0,26.9,1.1,0.0
20200326:1730,0.0,0.0,26.43,1.03,0.0
20200326:1830,0.0,0.0,25.93,0.97,0.0
20200326:1930,0.0,0.0,26.21,0.55,0.0
20200326:2030,0.0,0.0,25.76,0.62,0.0
20200326:2130,0.0,0.0,25.4,0.62,0.0
20200326:2230,0.0,0.0,25.37,0.55,0.0
20200326:2330,0.0,0.0,25.1,0.62,0.0
20200327:0030,0.0,-6.86,24.92,1.24,0.0
20200327:0130,58.94,7.9,24.51,1.38,0.0
20200327:0230,213.69,22.67,24.85,0.62,0.0
20200327:0330,423.04,37.43,27.53,0.14,0.0
20200327:0430,591.18,52.11,29.34,0.41,0.0
20200327:0530,689.6,66.54,30.91,0.62,0.0
20200327:0630,701.71,79.59,31.97,0.69,0.0
20200327:0730,731.25,79.49,32.67,1.17,0.0
20200327:0830,699.94,66.42,33.2,1.72,0.0
20200327:0930,549.46,51.98,33.33,1.93,0.0
20200327:1030,404.15,37.3,32.57,2.48,0.0
20200327:1130,235.8,22.54,31.6,2.48,0.0
20200327:1230,55.83,7.77,30.38,2.14,0.0
20200327:1330,0.0,0.0,29.02,1.66,0.0
20200327:1430,0.0,0.0,27.93,0.83,0.0
20200327:1530,0.0,0.0,27.98,0.14,0.0
20200327:1630,0.0,0.0,27.31,0.83,0.0
20200327:1730,0.0,0.0,26.6,0.97,0.0
20200327:1830,0.0,0.0,26.15,0.97,0.0
20200327:1930,0.0,0.0,25.86,0.69,0.0
20200327:2030,0.0,0.0,25.77,0.55,0.0
20200327:2130,0.0,0.0,25.51,0.62,0.0
20200327:2230,0.0,0.0,25.43,0.55,0.0
20200327:2330,0.0,0.0,25.23,0.69,0.0
20200328:0030,0.0,-6.71,25.05,0.83,0.0
20200328:0130,60.97,8.04,24.86,0.97,0.0
20200328:0230,222.82,22.81,25.92,0.48,0.0
20200328:0330,445.88,37.57,27.7,0.0,0.0
20200328:0430,607.82,52.27,29.76,0.62,0.0
20200328:0530,702.79,66.74,31.41,0.97,0.0
20200328:0630,756.44,79.92,32.8,1.24,0.0
20200328:0730,751.63,79.71,33.64,1.38,0.0
20200328:0830,713.1,66.47,34.45,1.72,0.0
20200328:0930,579.0,51.99,34.71,2.07,0.0
20200328:1030,424.13,37.29,34.21,2.34,0.0
20200328:1130,211.8,22.53,32.82,3.1,0.0
20200328:1230,53.62,7.76,31.0,2.83,0.0
20200328:1330,0.0,0.0,29.46,2.0,0.0
20200328:1430,0.0,0.0,28.47,1.1,0.0
20200328:1530,0.0,0.0,27.96,0.9,0.0
20200328:1630,0.0,0.0,27.55,0.55,0.0
20200328:1730,0.0,0.0,26.96,0.41,0.0
20200328:1830,0.0,0.0,26.54,1.17,0.0
20200328:1930,0.0,0.0,26.36,0.83,0.0
20200328:2030,0.0,0.0,26.1,0.97,0.0
20200328:2130,0.0,0.0,25.85,1.03,0.0
20200328:2230,0.0,0.0,25.43,1.1,0.0
20200328:2330,0.0,0.0,25.19,1.17,0.0
20200329:0030,0.0,-6.56,25.01,0.97,0.0
20200329:0130,48.33,8.18,24.86,0.83,0.0
20200329:0230,215.35,22.96,25.25,0.69,0.0
20200329:0330,390.21,37.72,26.8,0.69,0.0
20200329:0430,611.59,52.43,28.57,0.83,0.0
20200329:0530,649.65,66.94,30.58,0.97,0.0
20200329:0630,710.1,80.24,31.62,1.17,0.0
20200329:0730,740.25,79.91,32.36,1.59,0.0
20200329:0830,699.16,66.51,33.03,1.79,0.0
20200329:0930,499.66,51.99,33.17,2.0,0.0
20200329:1030,384.8,37.28,32.33,2.14,0.0
20200329:1130,217.38,22.52,31.59,2.48,0.0
20200329:1230,41.67,7.74,30.46,2.21,0.0
20200329:1330,0.0,0.0,29.35,1.45,0.0
20200329:1430,0.0,0.0,28.46,0.97,0.0
20200329:1530,0.0,0.0,27.85,0.9,0.0
20200329:1630,0.0,0.0,27.41,0.83,0.0
20200329:1730,0.0,0.0,26.76,0.76,0.0
20200329:1830,0.0,0.0,26.43,0.83,0.0
20200329:1930,0.0,0.0,26.18,0.55,0.0
20200329:2030,0.0,0.0,26.06,0.41,0.0
20200329:2130,0.0,0.0,26.16,0.21,0.0
20200329:2230,0.0,0.0,25.44,0.48,0.0
20200329:2330,0.0,0.0,25.11,0.9,0.0
20200330:0030,0.0,-6.42,24.82,0.97,0.0
20200330:0130,60.06,8.33,24.69,1.1,0.0
20200330:0230,253.51,23.1,25.63,0.62,0.0
20200330:0330,449.72,37.86,27.95,0.21,0.0
20200330:0430,594.64,52.59,30.09,0.48,0.0
20200330:0530,665.21,67.13,31.74,0.76,0.0
20200330:0630,791.5,80.56,33.16,0.9,0.0
20200330:0730,626.49,80.1,34.3,1.24,0.0
20200330:0830,723.55,66.55,34.47,1.72,0.0
20200330:0930,529.0,51.99,34.85,2.07,0.0
20200330:1030,380.53,37.27,32.94,1.93,0.0
20200330:1130,192.93,22.5,31.62,2.41,0.0
20200330:1230,46.61,7.73,30.68,2.34,0.0
20200330:1330,0.0,0.0,29.62,1.52,0.0
20200330:1430,0.0,0.0,28.73,1.03,0.0
20200330:1530,0.0,0.0,28.19,1.1,0.0
20200330:1630,0.0,0.0,27.5,0.76,0.0
20200330:1730,0.0,0.0,27.13,0.69,0.0
20200330:1830,0.0,0.0,26.45,1.1,0.0
20200330:1930,0.0,0.0,26.53,0.62,0.0
20200330:2030,0.0,0.0,26.5,0.69,0.0
20200330:2130,0.0,0.0,25.96,0.76,0.0
20200330:2230,0.0,0.0,25.69,0.76,0.0
20200330:2330,0.0,0.0,25.26,0.76,0.0
20200331:0030,0.0,-6.27,24.8,0.62,0.0
20200331:0130,54.84,8.47,24.55,0.69,0.0
20200331:0230,245.08,23.24,25.65,0.48,0.0
20200331:0330,452.43,38.01,28.15,0.21,0.0
20200331:0430,591.25,52.74,30.31,0.28,0.0
20200331:0530,756.64,67.31,32.16,0.55,0.0
20200331:0630,821.0,80.87,34.07,0.62,0.0
20200331:0730,836.28,80.28,35.48,0.97,0.0
20200331:0830,724.83,66.58,36.53,1.52,0.0
20200331:0930,624.12,51.99,36.63,2.21,0.0
20200331:1030,419.82,37.25,35.93,2.55,0.0
20200331:1130,228.63,22.48,34.13,3.31,0.0
20200331:1230,48.95,7.72,31.9,2.83,0.0
20200331:1330,0.0,0.0,29.94,2.0,0.0
20200331:1430,0.0,0.0,28.79,0.9,0.0
20200331:1530,0.0,0.0,28.49,0.14,0.0
20200331:1630,0.0,0.0,27.68,0.55,0.0
20200331:1730,0.0,0.0,27.27,0.48,0.0
20200331:1830,0.0,0.0,27.01,0.48,0.0
20200331:1930,0.0,0.0,27.13,0.34,0.0
20200331:2030,0.0,0.0,26.75,0.34,0.0
20200331:2130,0.0,0.0,26.3,0.48,0.0
20200331:2230,0.0,0.0,25.71,0.55,0.0
20200331:2330,0.0,0.0,25.57,0.9,0.0
20200401:0030,0.0,-6.12,24.78,0.69,0.0
20200401:0130,60.54,8.61,24.43,0.9,0.0
20200401:0230,241.94,23.37,25.44,0.76,0.0
20200401:0330,462.65,38.15,28.24,0.41,0.0
20200401:0430,645.98,52.89,30.56,0.48,0.0
20200401:0530,709.47,67.49,32.59,0.97,0.0
20200401:0630,831.65,81.18,34.1,1.03,0.0
20200401:0730,831.33,80.44,35.52,1.45,0.0
20200401:0830,758.93,66.6,36.3,1.93,0.0
20200401:0930,598.01,51.98,36.62,2.21,0.0
20200401:1030,414.34,37.24,35.99,2.69,0.0
20200401:1130,226.12,22.47,34.24,3.24,0.0
20200401:1230,46.85,7.7,31.95,3.1,0.0
20200401:1330,0.0,0.0,29.91,2.21,0.0
20200401:1430,0.0,0.0,28.69,1.17,0.0
20200401:1530,0.0,0.0,27.98,0.83,0.0
20200401:1630,0.0,0.0,27.4,0.55,0.0
20200401:1730,0.0,0.0,27.23,0.21,0.0
20200401:1830,0.0,0.0,26.86,0.28,0.0
20200401:1930,0.0,0.0,27.0,0.21,0.0
20200401:2030,0.0,0.0,27.01,0.0,0.0
20200401:2130,0.0,0.0,26.31,0.28,0.0
20200401:2230,0.0,0.0,25.97,0.41,0.0
20200401:2330,0.0,0.0,25.52,0.69,0.0
20200402:0030,0.0,-5.97,25.33,0.9,0.0
20200402:0130,59.45,8.75,25.11,1.03,0.0
20200402:0230,249.11,23.51,26.18,0.62,0.0
20200402:0330,456.25,38.28,28.5,0.34,0.0
20200402:0430,611.99,53.03,30.81,0.28,0.0
20200402:0530,759.69,67.66,32.8,0.55,0.0
20200402:0630,739.56,81.47,34.67,0.62,0.0
20200402:0730,754.92,80.59,35.48,1.31,0.0
20200402:0830,642.02,66.62,36.19,1.59,0.0
20200402:0930,561.34,51.97,36.15,2.14,0.0
20200402:1030,342.33,37.22,35.61,2.83,0.0
20200402:1130,216.15,22.45,33.39,3.59,0.0
20200402:1230,39.22,7.69,31.64,2.97,0.0
20200402:1330,0.0,0.0,29.82,2.14,0.0
20200402:1430,0.0,0.0,28.77,1.72,0.0
20200402:1530,0.0,0.0,28.08,0.76,0.0
20200402:1630,0.0,0.0,26.96,0.48,0.0
20200402:1730,0.0,0.0,26.51,0.41,0.0
20200402:1830,0.0,0.0,26.43,0.21,0.0
20200402:1930,0.0,0.0,26.56,0.48,0.0
20200402:2030,0.0,0.0,26.31,0.41,0.0
20200402:2130,0.0,0.0,26.11,0.34,0.0
20200402:2230,0.0,0.0,25.74,0.55,0.0
20200402:2330,0.0,0.0,25.39,0.69,0.0
20200403:0030,0.0,-5.83,25.14,0.69,0.0
20200403:0130,56.78,8.89,25.13,0.83,0.0
20200403:0230,197.84,23.65,25.88,0.41,0.0
20200403:0330,356.09,38.42,27.46,0.14,0.0
20200403:0430,511.74,53.17,29.31,0.21,0.0
20200403:0530,722.01,67.83,31.43,0.55,0.0
20200403:0630,786.39,81.76,33.31,0.9,0.0
20200403:0730,750.49,80.72,34.76,1.17,0.0
20200403:0830,705.3,66.63,35.24,1.72,0.0
20200403:0930,531.56,51.96,35.31,1.93,0.0
20200403:1030,349.56,37.2,34.27,2.48,0.0
20200403:1130,204.41,22.43,32.54,3.17,0.0
20200403:1230,38.43,7.67,31.06,2.69,0.0
20200403:1330,0.0,0.0,29.74,2.0,0.0
20200403:1430,0.0,0.0,28.86,1.1,0.0
20200403:1530,0.0,0.0,28.3,0.14,0.0
20200403:1630,0.0,0.0,27.9,0.48,0.0
20200403:1730,0.0,0.0,27.56,0.21,0.0
20200403:1830,0.0,0.0,27.1,0.48,0.0
20200403:1930,0.0,0.0,26.76,0.48,0.0
20200403:2030,0.0,0.0,26.61,0.28,0.0
20200403:2130,0.0,0.0,26.24,0.34,0.0
20200403:2230,0.0,0.0,25.98,0.41,0.0
20200403:2330,0.0,0.0,26.11,0.28,0.0
20200404:0030,0.0,-5.68,26.07,0.14,0.0
20200404:0130,51.48,9.03,25.79,0.41,0.0
20200404:0230,228.15,23.78,26.17,0.34,0.0
20200404:0330,440.56,38.55,28.07,0.41,0.0
20200404:0430,607.85,53.31,30.35,0.41,0.0
20200404:0530,708.46,67.99,32.3,0.62,0.0
20200404:0630,760.85,82.04,33.89,1.03,0.0
20200404:0730,760.31,80.84,34.58,1.31,0.0
20200404:0830,686.43,66.64,35.28,1.72,0.0
20200404:0930,543.93,51.95,35.46,2.07,0.0
20200404:1030,369.4,37.18,34.66,2.21,0.0
20200404:1130,204.47,22.41,33.38,2.62,0.0
20200404:1230,34.6,7.66,31.87,2.48,0.0
20200404:1330,0.0,0.0,30.34,1.93,0.0
20200404:1430,0.0,0.0,29.38,1.1,0.0
20200404:1530,0.0,0.0,28.71,0.76,0.0
20200404:1630,0.0,0.0,28.22,0.55,0.0
20200404:1730,0.0,0.0,28.39,0.28,0.0
20200404:1830,0.0,0.0,27.43,0.48,0.0
20200404:1930,0.0,0.0,27.23,0.41,0.0
20200404:2030,0.0,0.0,27.22,0.34,0.0
20200404:2130,0.0,0.0,26.57,0.55,0.0
20200404:2230,0.0,0.0,26.18,0.62,0.0
20200404:2330,0.0,0.0,26.12,0.97,0.0
20200405:0030,0.0,-5.53,25.61,0.83,0.0
20200405:0130,54.52,9.16,25.35,0.83,0.0
20200405:0230,223.51,23.91,26.76,0.41,0.0
20200405:0330,367.04,38.68,28.67,0.41,0.0
20200405:0430,494.13,53.45,30.46,0.48,0.0
20200405:0530,692.33,68.15,31.88,0.83,0.0
20200405:0630,621.48,82.3,33.7,1.38,0.0
20200405:0730,701.64,80.95,33.25,1.59,0.0
20200405:0830,597.31,66.64,34.01,1.79,0.0
20200405:0930,500.77,51.93,34.33,2.21,0.0
20200405:1030,274.06,37.16,32.84,2.0,0.0
20200405:1130,82.54,22.39,29.81,1.03,0.0
20200405:1230,23.56,7.65,28.38,0.21,0.0
20200405:1330,0.0,0.0,27.15,0.07,0.0
20200405:1430,0.0,0.0,26.96,0.62,0.0
20200405:1530,0.0,0.0,26.62,0.28,0.0
20200405:1630,0.0,0.0,26.6,0.41,0.0
20200405:1730,0.0,0.0,26.33,0.41,0.0
20200405:1830,0.0,0.0,26.37,0.69,0.0
20200405:1930,0.0,0.0,25.56,0.83,0.0
20200405:2030,0.0,0.0,25.21,0.55,0.0
20200405:2130,0.0,0.0,25.31,0.9,0.0
20200405:2230,0.0,0.0,25.18,0.83,0.0
20200405:2330,0.0,0.0,25.06,0.97,0.0
20200406:0030,0.0,-5.39,24.71,0.83,0.0
20200406:0130,52.54,9.3,24.68,0.97,0.0
20200406:0230,218.24,24.04,25.03,0.28,0.0
20200406:0330,394.97,38.8,26.44,0.07,0.0
20200406:0430,560.27,53.57,28.65,0.21,0.0
20200406:0530,680.41,68.29,30.98,0.69,0.0
20200406:0630,666.52,82.55,32.62,1.03,0.0
20200406:0730,709.7,81.03,33.0,1.24,0.0
20200406:0830,592.41,66.64,33.83,1.79,0.0
20200406:0930,438.08,51.91,33.17,1.66,0.0
20200406:1030,364.51,37.13,32.95,1.86,0.0
20200406:1130,147.58,22.37,32.6,1.72,0.0
20200406:1230,30.42,7.63,31.31,1.86,0.0
20200406:1330,0.0,0.0,30.14,2.0,0.0
20200406:1430,0.0,0.0,29.11,1.52,0.0
20200406:1530,0.0,0.0,28.38,0.9,0.0
20200406:1630,0.0,0.0,27.36,0.34,0.0
20200406:1730,0.0,0.0,26.99,0.55,0.0
20200406:1830,0.0,0.0,26.07,0.34,0.0
20200406:1930,0.0,0.0,25.86,0.07,0.0
20200406:2030,0.0,0.0,25.44,0.48,0.0
20200406:2130,0.0,0.0,25.0,0.76,0.0
20200406:2230,0.0,0.0,24.88,0.97,0.0
20200406:2330,0.0,0.0,24.82,0.69,0.0
20200407:0030,0.0,-5.25,24.54,0.41,0.0
20200407:0130,40.91,9.43,24.5,0.34,0.0
20200407:0230,181.84,24.16,24.37,0.55,0.0
20200407:0330,319.92,38.93,25.67,0.48,0.0
20200407:0430,486.77,53.7,26.91,0.21,0.0
20200407:0530,574.65,68.43,29.56,0.62,0.0
20200407:0630,517.36,82.79,31.05,1.24,0.0
20200407:0730,483.1,81.11,29.24,2.28,0.0
20200407:0830,402.81,66.63,28.18,1.45,0.0
20200407:0930,281.7,51.88,28.47,1.17,0.0
20200407:1030,177.63,37.11,27.88,1.59,0.0
20200407:1130,118.16,22.35,27.69,1.03,0.0
20200407:1230,29.85,7.62,27.73,1.31,0.0
20200407:1330,0.0,0.0,27.16,1.03,0.0
20200407:1430,0.0,0.0,26.71,0.76,0.0
20200407:1530,0.0,0.0,26.35,0.97,0.0
20200407:1630,0.0,0.0,26.06,0.97,0.0
20200407:1730,0.0,0.0,25.91,0.9,0.0
20200407:1830,0.0,0.0,25.62,0.76,0.0
20200407:1930,0.0,0.0,26.2,0.21,0.0
20200407:2030,0.0,0.0,26.15,0.14,0.0
20200407:2130,0.0,0.0,25.98,0.0,0.0
20200407:2230,0.0,0.0,25.62,0.34,0.0
20200407:2330,0.0,0.0,25.22,0.55,0.0
20200408:0030,0.0,-5.1,25.01,0.55,0.0
20200408:0130,46.02,9.56,25.05,0.62,0.0
20200408:0230,176.01,24.29,25.72,0.41,0.0
20200408:0330,325.99,39.05,27.12,0.9,0.0
20200408:0430,493.53,53.82,28.49,1.31,0.0
20200408:0530,638.47,68.57,29.86,1.17,0.0
20200408:0630,706.27,83.01,31.16,1.59,0.0
20200408:0730,614.28,81.17,33.09,1.59,0.0
20200408:0830,535.58,66.61,33.19,1.72,0.0
20200408:0930,421.64,51.86,33.24,1.79,0.0
20200408:1030,274.54,37.08,31.57,1.72,0.0
20200408:1130,124.85,22.33,27.59,1.1,0.0
20200408:1230,14.56,7.61,27.08,0.55,0.0
20200408:1330,0.0,0.0,26.13,0.62,0.0
20200408:1430,0.0,0.0,26.29,0.97,0.0
20200408:1530,0.0,0.0,26.16,0.9,0.0
20200408:1630,0.0,0.0,25.75,0.62,0.0
20200408:1730,0.0,0.0,25.83,0.41,0.0
20200408:1830,0.0,0.0,25.35,0.76,0.0
20200408:1930,0.0,0.0,25.75,0.97,0.0
20200408:2030,0.0,0.0,25.52,1.03,0.0
20200408:2130,0.0,0.0,25.3,1.1,0.0
20200408:2230,0.0,0.0,25.09,1.1,0.0
20200408:2330,0.0,0.0,24.76,0.97,0.0
20200409:0030,0.0,-4.96,24.51,0.97,0.0
20200409:0130,45.28,9.69,24.62,1.1,0.0
20200409:0230,196.17,24.41,25.89,0.34,0.0
