Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20220207:1700,24.71,84.4,0.0,-0.0,0.0,404.45,0.62,36.0,99750.0
20220207:1800,24.38,87.2,0.0,-0.0,0.0,401.4,0.83,34.0,99720.0
20220207:1900,24.26,87.2,0.0,-0.0,0.0,404.65,0.62,11.0,99690.0
20220207:2000,24.09,84.35,0.0,-0.0,0.0,390.35,0.48,34.0,99580.0
20220207:2100,23.72,87.15,0.0,-0.0,0.0,396.55,0.55,70.0,99540.0
20220207:2200,23.17,90.05,0.0,-0.0,0.0,391.1,0.69,96.0,99490.0
20220207:2300,22.74,93.05,0.0,-0.0,0.0,387.45,0.76,99.0,99480.0
20220208:0000,22.44,96.15,0.0,-0.0,0.0,384.35,0.83,101.0,99470.0
20220208:0100,22.13,96.15,0.0,-0.0,0.0,379.6,0.9,108.0,99530.0
20220208:0200,22.41,96.15,178.1,561.86,83.05,381.05,0.83,107.0,99610.0
20220208:0300,24.73,79.05,422.1,706.54,138.2,383.2,0.28,125.0,99700.0
20220208:0400,26.82,67.2,612.85,760.22,153.65,384.75,0.14,228.0,99740.0
20220208:0500,28.78,59.1,710.1,665.12,203.25,396.35,0.48,276.0,99700.0
20220208:0600,30.52,50.3,761.25,554.92,281.2,403.5,0.76,286.0,99640.0
20220208:0700,31.52,45.7,713.45,594.58,174.7,409.5,1.24,308.0,99510.0
20220208:0800,32.17,40.15,733.85,613.37,192.65,408.15,1.45,296.0,99380.0
20220208:0900,32.81,38.95,659.45,631.89,156.85,412.2,1.86,283.0,99240.0
20220208:1000,32.82,38.95,498.35,589.23,114.65,407.95,2.28,277.0,99170.0
20220208:1100,31.66,44.3,274.25,419.52,81.45,403.7,2.76,269.0,99130.0
20220208:1200,29.66,55.5,63.25,153.26,27.45,404.65,2.83,268.0,99190.0
20220208:1300,27.74,63.1,0.0,-0.0,0.0,402.35,2.14,272.0,99270.0
20220208:1400,26.44,71.75,0.0,-0.0,0.0,396.55,1.31,281.0,99410.0
20220208:1500,25.73,76.6,0.0,-0.0,0.0,393.45,0.97,301.0,99500.0
20220208:1600,25.16,79.1,0.0,-0.0,0.0,389.0,0.9,327.0,99550.0
20220208:1700,24.58,81.7,0.0,-0.0,0.0,386.65,0.76,0.0,99560.0
20220208:1800,24.0,90.1,0.0,-0.0,0.0,383.2,0.69,31.0,99520.0
20220208:1900,24.56,81.7,0.0,-0.0,0.0,384.75,0.14,304.0,99470.0
20220208:2000,23.92,87.15,0.0,-0.0,0.0,379.3,0.48,142.0,99440.0
20220208:2100,23.0,93.05,0.0,-0.0,0.0,381.25,1.03,142.0,99400.0
20220208:2200,22.82,93.05,0.0,-0.0,0.0,381.25,1.17,131.0,99400.0
20220208:2300,22.63,93.05,0.0,-0.0,0.0,387.25,1.17,117.0,99390.0
20220209:0000,22.5,93.05,0.0,-0.0,0.0,388.2,1.24,111.0,99420.0
20220209:0100,22.24,96.15,0.0,-0.0,0.0,380.6,1.24,105.0,99490.0
20220209:0200,22.24,96.15,212.0,761.32,82.45,376.4,0.83,95.0,99540.0
20220209:0300,25.17,76.5,464.15,855.32,119.3,380.65,0.55,123.0,99610.0
20220209:0400,27.45,63.0,667.2,861.59,145.3,375.65,0.34,158.0,99640.0
20220209:0500,29.39,55.4,853.75,946.75,130.4,381.45,0.28,248.0,99620.0
20220209:0600,31.29,45.7,927.2,886.45,158.4,385.5,0.83,275.0,99540.0
20220209:0700,32.13,42.95,944.6,896.88,129.85,394.8,1.17,269.0,99430.0
20220209:0800,32.97,40.3,847.7,787.73,150.8,393.65,1.45,262.0,99320.0
20220209:0900,33.31,39.05,557.6,482.77,172.5,400.6,1.66,256.0,99190.0
20220209:1000,32.82,40.3,381.6,357.86,147.8,410.65,2.14,252.0,99130.0
20220209:1100,31.48,48.9,258.6,354.74,94.9,409.3,2.83,255.0,99100.0
20220209:1200,29.81,57.4,54.25,59.11,40.35,400.8,2.62,257.0,99140.0
20220209:1300,27.94,63.1,0.0,-0.0,0.0,403.3,2.07,258.0,99250.0
20220209:1400,26.71,69.5,0.0,-0.0,0.0,402.75,1.31,258.0,99380.0
20220209:1500,25.99,76.6,0.0,-0.0,0.0,401.0,0.48,222.0,99490.0
20220209:1600,25.27,84.45,0.0,-0.0,0.0,400.0,0.41,145.0,99540.0
20220209:1700,24.72,81.7,0.0,-0.0,0.0,397.9,0.83,117.0,99580.0
20220209:1800,24.08,84.35,0.0,-0.0,0.0,396.75,0.9,119.0,99560.0
20220209:1900,24.46,87.2,0.0,-0.0,0.0,418.8,0.55,141.0,99500.0
20220209:2000,24.5,84.35,0.0,-0.0,0.0,408.95,0.14,140.0,99430.0
20220209:2100,24.23,84.35,0.0,-0.0,0.0,401.95,0.07,72.0,99400.0
20220209:2200,23.94,87.15,0.0,-0.0,0.0,399.65,0.28,69.0,99360.0
20220209:2300,23.26,90.05,0.0,-0.0,0.0,394.8,0.76,84.0,99370.0
20220210:0000,23.0,93.05,0.0,-0.0,0.0,389.75,0.97,93.0,99390.0
20220210:0100,22.78,90.05,0.0,-0.0,0.0,386.95,1.03,100.0,99440.0
20220210:0200,22.77,93.05,213.95,806.84,75.8,381.45,0.76,101.0,99510.0
20220210:0300,24.96,76.45,458.25,855.29,112.2,377.55,0.48,121.0,99550.0
20220210:0400,27.16,63.0,641.5,813.35,147.4,384.35,0.41,166.0,99600.0
20220210:0500,28.73,59.1,835.65,896.09,149.2,385.9,0.55,212.0,99600.0
20220210:0600,30.25,52.05,828.9,742.5,183.3,393.65,0.76,239.0,99510.0
20220210:0700,31.11,47.25,780.35,619.32,216.3,397.3,0.76,260.0,99380.0
20220210:0800,31.65,44.3,723.45,584.75,204.75,402.75,1.1,255.0,99280.0
20220210:0900,32.21,42.95,580.3,486.22,191.35,415.3,1.66,248.0,99140.0
20220210:1000,31.97,44.3,428.0,484.49,110.45,415.7,2.14,244.0,99080.0
20220210:1100,31.02,48.75,220.35,271.73,94.45,408.75,2.41,243.0,99040.0
20220210:1200,29.52,55.4,60.6,117.86,32.7,408.9,2.21,249.0,99100.0
20220210:1300,27.86,61.0,0.0,-0.0,0.0,397.9,1.66,267.0,99180.0
20220210:1400,26.8,67.2,0.0,-0.0,0.0,407.0,1.1,290.0,99290.0
20220210:1500,25.99,76.6,0.0,-0.0,0.0,397.1,0.55,312.0,99410.0
20220210:1600,25.27,81.75,0.0,-0.0,0.0,391.5,0.34,286.0,99440.0
20220210:1700,25.18,79.1,0.0,-0.0,0.0,386.65,0.21,190.0,99460.0
20220210:1800,24.36,87.2,0.0,-0.0,0.0,384.75,0.55,142.0,99430.0
20220210:1900,23.75,84.35,0.0,-0.0,0.0,375.65,1.1,135.0,99390.0
20220210:2000,23.57,81.55,0.0,-0.0,0.0,374.65,1.38,131.0,99350.0
20220210:2100,23.3,84.25,0.0,-0.0,0.0,388.2,1.31,129.0,99310.0
20220210:2200,23.07,84.25,0.0,-0.0,0.0,379.5,1.31,122.0,99270.0
20220210:2300,22.69,84.25,0.0,-0.0,0.0,381.65,1.31,109.0,99260.0
20220211:0000,22.39,87.05,0.0,-0.0,0.0,381.85,1.24,97.0,99290.0
20220211:0100,22.07,84.15,0.0,-0.0,0.0,385.05,1.24,88.0,99360.0
20220211:0200,22.26,84.15,146.45,400.07,77.5,380.3,0.97,84.0,99410.0
20220211:0300,24.69,71.5,174.95,134.95,120.15,386.65,0.76,92.0,99520.0
20220211:0400,26.19,62.8,515.4,533.34,190.45,409.1,0.21,96.0,99560.0
20220211:0500,28.66,51.65,620.85,508.53,230.25,393.65,0.14,249.0,99560.0
20220211:0600,30.2,45.45,809.95,701.77,198.2,411.05,0.28,308.0,99480.0
20220211:0700,32.09,40.15,720.9,598.52,174.4,409.7,0.21,296.0,99320.0
20220211:0800,32.67,37.65,420.5,177.65,262.5,421.1,0.48,25.0,99200.0
20220211:0900,32.12,38.8,318.15,130.83,213.2,427.9,0.48,14.0,99110.0
20220211:1000,31.42,41.3,184.9,65.48,141.85,430.4,0.34,20.0,99040.0
20220211:1100,30.15,47.0,155.05,125.34,96.75,426.35,0.28,58.0,99040.0
20220211:1200,29.15,51.8,32.55,41.56,22.65,427.7,0.55,84.0,99090.0
20220211:1300,28.14,57.05,0.0,-0.0,0.0,423.45,0.69,67.0,99150.0
20220211:1400,27.13,60.9,0.0,-0.0,0.0,415.3,0.76,73.0,99240.0
20220211:1500,26.09,69.4,0.0,-0.0,0.0,416.1,0.55,80.0,99370.0
20220211:1600,25.49,79.1,0.0,-0.0,0.0,419.75,0.28,128.0,99430.0
20220211:1700,24.98,81.7,0.0,-0.0,0.0,413.4,0.21,111.0,99490.0
20220211:1800,24.81,79.05,0.0,-0.0,0.0,409.7,0.28,308.0,99460.0
20220211:1900,25.22,81.75,0.0,-0.0,0.0,406.2,0.69,213.0,99380.0
20220211:2000,24.72,87.25,0.0,-0.0,0.0,404.45,0.83,199.0,99290.0
20220211:2100,24.26,87.2,0.0,-0.0,0.0,402.95,0.83,185.0,99260.0
20220211:2200,23.97,90.1,0.0,-0.0,0.0,404.65,0.9,182.0,99240.0
20220211:2300,23.73,90.1,0.0,-0.0,0.0,403.1,0.97,173.0,99250.0
20220212:0000,23.55,90.1,0.0,-0.0,0.0,407.55,0.9,161.0,99290.0
20220212:0100,23.72,87.15,0.0,-0.0,0.0,413.1,1.03,134.0,99370.0
20220212:0200,23.76,90.1,108.15,348.65,47.65,409.7,0.76,120.0,99460.0
20220212:0300,24.59,84.4,264.8,351.94,121.35,417.25,0.28,137.0,99540.0
20220212:0400,26.25,79.2,430.35,486.09,133.3,423.65,0.28,287.0,99580.0
20220212:0500,27.51,71.9,616.8,574.16,174.6,424.6,0.41,304.0,99560.0
20220212:0600,29.19,63.3,518.3,310.71,246.75,424.0,0.69,283.0,99480.0
20220212:0700,30.18,55.6,359.4,102.36,265.7,435.25,1.03,264.0,99360.0
20220212:0800,29.99,57.4,320.75,118.09,215.45,443.95,1.52,267.0,99250.0
20220212:0900,28.76,65.3,234.85,47.49,196.65,443.35,1.38,274.0,99100.0
20220212:1000,28.57,65.3,225.95,180.43,106.95,438.15,0.97,251.0,99090.0
20220212:1100,27.95,69.65,127.55,85.56,87.6,440.1,0.9,220.0,99080.0
20220212:1200,27.36,71.9,26.2,52.57,13.6,431.55,0.97,185.0,99140.0
20220212:1300,26.38,79.2,0.0,-0.0,0.0,427.7,1.24,166.0,99220.0
20220212:1400,25.56,81.8,0.0,-0.0,0.0,424.6,1.17,158.0,99320.0
20220212:1500,24.31,93.1,0.0,-0.0,0.0,419.2,1.1,154.0,99430.0
20220212:1600,24.02,93.1,0.0,-0.0,0.0,416.85,1.03,139.0,99460.0
20220212:1700,23.59,96.2,0.0,-0.0,0.0,419.75,0.9,135.0,99470.0
20220212:1800,23.47,99.4,0.0,-0.0,0.0,418.2,0.9,123.0,99400.0
20220212:1900,23.05,96.2,0.0,-0.0,0.0,406.4,0.83,149.0,99370.0
20220212:2000,22.71,99.4,0.0,-0.0,0.0,405.25,0.76,129.0,99320.0
20220212:2100,22.62,99.4,0.0,-0.0,0.0,411.05,0.76,99.0,99260.0
20220212:2200,22.48,100.0,0.0,-0.0,0.0,409.1,0.62,84.0,99230.0
20220212:2300,22.26,100.0,0.0,-0.0,0.0,405.45,0.69,76.0,99190.0
20220213:0000,22.99,96.15,0.0,-0.0,0.0,404.85,0.9,90.0,99210.0
20220213:0100,22.1,99.4,0.0,-0.0,0.0,403.05,0.97,97.0,99280.0
20220213:0200,22.84,96.15,157.95,346.75,97.35,403.5,0.62,102.0,99370.0
20220213:0300,24.92,87.25,373.3,505.05,166.65,398.45,0.34,142.0,99470.0
20220213:0400,26.61,74.25,576.55,625.24,193.3,398.3,0.34,160.0,99520.0
20220213:0500,28.33,65.2,689.15,633.39,200.0,404.85,0.21,194.0,99500.0
20220213:0600,29.32,61.25,740.15,639.33,179.95,405.25,0.55,231.0,99420.0
20220213:0700,30.54,57.5,817.45,621.85,246.75,407.0,1.03,226.0,99270.0
20220213:0800,31.45,54.05,717.6,507.27,264.1,417.05,1.52,234.0,99130.0
20220213:0900,31.2,54.05,493.75,321.78,234.2,419.95,1.72,224.0,99020.0
20220213:1000,29.91,63.4,274.8,213.75,133.4,421.5,1.93,212.0,98950.0
20220213:1100,29.28,65.4,197.25,220.1,94.1,422.65,2.34,206.0,98960.0
20220213:1200,28.24,69.65,48.8,73.41,31.1,412.8,2.07,214.0,99030.0
20220213:1300,27.19,74.3,0.0,-0.0,0.0,418.2,1.59,226.0,99090.0
20220213:1400,26.43,79.2,0.0,-0.0,0.0,409.9,1.38,241.0,99200.0
20220213:1500,25.44,84.45,0.0,-0.0,0.0,402.9,0.83,257.0,99320.0
20220213:1600,25.19,84.45,0.0,-0.0,0.0,409.1,0.21,3.0,99400.0
20220213:1700,24.77,87.25,0.0,-0.0,0.0,404.85,0.97,65.0,99430.0
20220213:1800,24.22,90.1,0.0,-0.0,0.0,407.4,0.9,77.0,99400.0
20220213:1900,23.99,93.1,0.0,-0.0,0.0,405.85,0.62,110.0,99360.0
20220213:2000,24.1,87.2,0.0,-0.0,0.0,401.95,0.34,103.0,99280.0
20220213:2100,24.17,87.2,0.0,-0.0,0.0,410.3,0.28,62.0,99240.0
20220213:2200,23.95,90.1,0.0,-0.0,0.0,413.4,0.34,59.0,99190.0
20220213:2300,23.12,93.05,0.0,-0.0,0.0,393.45,0.69,80.0,99180.0
20220214:0000,23.01,93.05,0.0,-0.0,0.0,399.05,0.97,94.0,99210.0
20220214:0100,22.41,96.15,0.0,-0.0,0.0,389.3,1.1,90.0,99290.0
20220214:0200,22.61,93.05,193.7,665.65,76.5,396.75,0.83,88.0,99350.0
20220214:0300,24.34,87.2,373.0,655.43,103.75,382.6,0.55,88.0,99450.0
20220214:0400,26.11,74.15,622.5,773.98,146.6,392.3,0.07,72.0,99490.0
20220214:0500,27.83,65.2,822.65,897.02,128.0,395.55,0.21,322.0,99490.0
20220214:0600,29.65,57.4,808.35,770.92,131.1,398.65,0.48,301.0,99380.0
20220214:0700,30.84,50.45,816.4,670.82,199.2,402.35,0.76,276.0,99240.0
20220214:0800,31.69,45.85,589.55,424.25,209.3,405.45,1.17,254.0,99130.0
20220214:0900,31.6,45.85,603.9,572.1,141.2,413.4,1.86,240.0,99010.0
20220214:1000,31.54,48.9,492.1,569.49,114.25,408.15,2.21,239.0,98940.0
20220214:1100,30.92,52.15,219.2,286.5,84.45,414.9,2.41,237.0,98920.0
20220214:1200,29.34,59.2,65.6,147.44,29.85,408.15,2.21,242.0,98980.0
20220214:1300,27.82,65.2,0.0,-0.0,0.0,402.75,1.79,261.0,99080.0
20220214:1400,26.63,69.5,0.0,-0.0,0.0,402.55,1.45,284.0,99200.0
20220214:1500,25.61,79.15,0.0,-0.0,0.0,400.2,0.76,328.0,99350.0
20220214:1600,25.73,76.6,0.0,-0.0,0.0,398.3,0.34,55.0,99410.0
20220214:1700,24.86,87.25,0.0,-0.0,0.0,393.05,0.62,126.0,99470.0
20220214:1800,24.48,90.1,0.0,-0.0,0.0,397.1,0.9,129.0,99410.0
20220214:1900,24.64,84.4,0.0,-0.0,0.0,392.85,0.62,136.0,99370.0
20220214:2000,24.06,87.2,0.0,-0.0,0.0,392.65,0.83,121.0,99290.0
20220214:2100,23.45,93.05,0.0,-0.0,0.0,392.45,0.97,119.0,99270.0
20220214:2200,22.98,96.15,0.0,-0.0,0.0,389.0,0.97,123.0,99240.0
20220214:2300,22.72,93.05,0.0,-0.0,0.0,398.3,0.69,145.0,99230.0
20220215:0000,22.91,93.05,0.0,-0.0,0.0,396.95,0.97,150.0,99250.0
20220215:0100,22.78,93.05,0.0,-0.0,0.0,402.45,1.17,156.0,99340.0
20220215:0200,22.98,93.05,131.8,314.78,75.95,396.35,1.1,153.0,99440.0
20220215:0300,24.17,84.35,307.4,428.64,130.6,409.3,1.1,167.0,99540.0
20220215:0400,25.05,79.1,508.3,614.28,129.4,399.65,1.03,174.0,99610.0
20220215:0500,26.41,74.15,584.15,510.08,188.05,404.45,1.03,193.0,99610.0
20220215:0600,27.05,69.6,772.5,709.21,147.85,411.25,1.17,220.0,99540.0
20220215:0700,29.68,57.4,761.25,617.96,191.25,409.5,1.17,259.0,99320.0
20220215:0800,30.24,55.6,718.1,626.06,155.55,411.85,1.79,259.0,99230.0
20220215:0900,30.34,55.6,537.25,448.2,173.8,411.45,2.21,255.0,99070.0
20220215:1000,30.07,55.6,449.3,460.69,142.75,417.65,2.41,247.0,99010.0
20220215:1100,29.52,61.25,195.2,241.0,81.45,417.05,2.34,242.0,98960.0
20220215:1200,28.31,67.4,61.55,136.58,28.25,409.9,2.14,242.0,99010.0
20220215:1300,27.11,71.9,0.0,-0.0,0.0,404.45,1.59,246.0,99090.0
20220215:1400,26.18,79.2,0.0,-0.0,0.0,400.4,1.17,254.0,99220.0
20220215:1500,25.47,84.45,0.0,-0.0,0.0,399.45,0.76,285.0,99330.0
20220215:1600,25.1,84.45,0.0,-0.0,0.0,401.0,0.55,13.0,99390.0
20220215:1700,24.91,87.25,0.0,-0.0,0.0,414.55,0.9,74.0,99410.0
20220215:1800,24.36,90.1,0.0,-0.0,0.0,406.6,1.24,105.0,99380.0
20220215:1900,24.15,90.1,0.0,-0.0,0.0,393.85,0.62,102.0,99370.0
20220215:2000,23.8,93.1,0.0,-0.0,0.0,394.4,0.69,118.0,99290.0
20220215:2100,23.63,93.1,0.0,-0.0,0.0,399.65,0.55,133.0,99240.0
20220215:2200,23.27,93.05,0.0,-0.0,0.0,401.0,0.55,102.0,99180.0
20220215:2300,22.99,96.15,0.0,-0.0,0.0,398.65,0.83,101.0,99150.0
20220216:0000,22.56,96.15,0.0,-0.0,0.0,389.95,1.1,101.0,99160.0
20220216:0100,22.42,96.15,0.0,-0.0,0.0,392.2,1.1,99.0,99200.0
20220216:0200,22.51,93.05,215.05,805.16,71.05,382.6,0.69,105.0,99260.0
20220216:0300,24.6,84.4,425.25,757.86,111.35,381.45,0.48,140.0,99350.0
20220216:0400,26.43,74.15,639.25,809.39,138.4,398.1,0.62,181.0,99380.0
20220216:0500,27.95,65.2,758.2,779.36,151.3,402.35,0.55,213.0,99370.0
20220216:0600,29.53,59.2,721.15,599.85,191.45,409.3,0.9,240.0,99270.0
20220216:0700,29.66,57.4,787.25,594.74,237.3,410.65,1.45,247.0,99150.0
20220216:0800,30.62,53.9,746.55,617.89,189.95,412.6,1.79,252.0,99000.0
20220216:0900,31.0,52.15,572.0,467.65,191.8,409.7,2.07,253.0,98860.0
20220216:1000,30.7,52.15,353.35,297.7,154.7,422.1,2.21,246.0,98780.0
20220216:1100,29.77,55.5,214.85,274.71,84.75,419.2,2.34,238.0,98760.0
20220216:1200,28.74,63.2,53.6,120.77,24.0,420.9,1.93,236.0,98800.0
20220216:1300,27.69,65.2,0.0,-0.0,0.0,412.2,1.45,246.0,98910.0
20220216:1400,26.75,71.85,0.0,-0.0,0.0,415.1,1.17,275.0,99010.0
20220216:1500,25.86,81.8,0.0,-0.0,0.0,406.8,0.76,311.0,99130.0
20220216:1600,25.49,79.1,0.0,-0.0,0.0,408.15,0.9,110.0,99200.0
20220216:1700,24.73,81.7,0.0,-0.0,0.0,409.5,1.38,128.0,99230.0
20220216:1800,24.22,84.35,0.0,-0.0,0.0,399.05,1.38,130.0,99200.0
20220216:1900,24.21,81.65,0.0,-0.0,0.0,404.1,1.17,132.0,99200.0
20220216:2000,23.98,84.35,0.0,-0.0,0.0,406.6,1.03,133.0,99090.0
20220216:2100,23.57,84.35,0.0,-0.0,0.0,405.45,0.83,126.0,99060.0
20220216:2200,23.35,90.05,0.0,-0.0,0.0,401.75,0.48,112.0,99010.0
20220216:2300,23.66,84.35,0.0,-0.0,0.0,403.5,0.34,87.0,99000.0
20220217:0000,23.1,90.05,0.0,-0.0,0.0,397.3,0.69,77.0,99020.0
20220217:0100,23.22,87.1,0.0,-0.0,0.0,404.8,0.9,86.0,99060.0
20220217:0200,23.13,90.05,157.95,518.52,64.45,396.9,0.55,101.0,99140.0
20220217:0300,24.75,81.7,336.45,546.93,108.95,397.3,0.14,130.0,99250.0
20220217:0400,26.19,71.75,461.65,460.45,175.8,405.65,0.34,148.0,99290.0
20220217:0500,27.52,65.1,678.65,633.69,183.8,412.8,0.34,137.0,99290.0
20220217:0600,28.95,61.1,766.95,647.27,193.9,406.8,0.14,99.0,99150.0
20220217:0700,30.39,55.6,801.85,681.4,170.2,416.3,0.48,250.0,99020.0
20220217:0800,31.0,53.9,655.9,546.77,162.15,417.85,0.83,235.0,98890.0
20220217:0900,29.96,59.35,593.85,540.56,153.25,426.9,1.17,228.0,98770.0
20220217:1000,30.33,57.5,442.6,483.39,119.15,415.9,1.72,217.0,98730.0
20220217:1100,29.98,61.35,237.6,324.32,83.5,420.35,2.14,222.0,98680.0
20220217:1200,29.1,65.4,56.15,121.99,26.1,425.2,2.14,231.0,98720.0
20220217:1300,27.78,69.65,0.0,-0.0,0.0,419.0,1.66,244.0,98810.0
20220217:1400,26.74,76.7,0.0,-0.0,0.0,411.45,1.31,271.0,98930.0
20220217:1500,26.11,79.2,0.0,-0.0,0.0,419.0,0.83,298.0,99050.0
20220217:1600,25.62,81.8,0.0,-0.0,0.0,410.85,0.28,24.0,99120.0
20220217:1700,25.03,84.45,0.0,-0.0,0.0,407.0,0.97,129.0,99170.0
20220217:1800,24.09,87.2,0.0,-0.0,0.0,401.75,1.1,133.0,99170.0
20220217:1900,24.38,90.1,0.0,-0.0,0.0,398.1,0.83,124.0,99170.0
20220217:2000,23.89,93.1,0.0,-0.0,0.0,394.8,0.76,106.0,99060.0
20220217:2100,23.71,93.1,0.0,-0.0,0.0,400.4,0.62,94.0,99070.0
20220217:2200,23.71,90.1,0.0,-0.0,0.0,392.3,0.48,118.0,99020.0
20220217:2300,23.11,93.05,0.0,-0.0,0.0,395.2,0.69,149.0,99040.0
20220218:0000,22.66,96.15,0.0,-0.0,0.0,387.05,0.83,122.0,99070.0
20220218:0100,22.77,96.15,0.0,-0.0,0.0,396.25,1.1,107.0,99140.0
20220218:0200,22.67,96.15,206.7,742.91,71.6,391.7,0.69,94.0,99210.0
20220218:0300,24.71,84.4,428.3,774.46,104.75,395.4,0.14,147.0,99300.0
20220218:0400,26.4,74.15,673.55,869.63,131.9,395.4,0.21,233.0,99340.0
20220218:0500,28.13,65.2,742.75,742.23,161.5,398.45,0.34,272.0,99350.0
20220218:0600,29.41,59.2,918.7,880.1,137.5,409.7,0.83,264.0,99270.0
20220218:0700,31.1,52.25,892.1,814.45,135.25,402.15,1.1,247.0,99170.0
20220218:0800,31.75,49.0,795.85,692.54,168.95,407.75,1.52,243.0,99070.0
20220218:0900,32.07,49.0,620.3,602.37,128.1,418.2,1.93,237.0,98950.0
20220218:1000,31.73,49.0,439.1,462.87,128.55,415.7,2.21,233.0,98860.0
20220218:1100,30.96,53.9,252.35,362.32,79.65,420.55,2.62,234.0,98840.0
20220218:1200,29.49,63.3,71.8,164.23,31.15,409.9,2.48,245.0,98880.0
20220218:1300,27.82,69.65,0.0,-0.0,0.0,407.4,1.72,259.0,99000.0
20220218:1400,26.69,74.25,0.0,-0.0,0.0,407.75,1.17,272.0,99130.0
20220218:1500,25.75,81.8,0.0,-0.0,0.0,407.2,0.41,251.0,99290.0
20220218:1600,25.39,84.45,0.0,-0.0,0.0,407.55,0.62,148.0,99360.0
20220218:1700,24.76,87.25,0.0,-0.0,0.0,402.9,0.97,149.0,99430.0
20220218:1800,24.26,90.1,0.0,-0.0,0.0,397.5,0.83,139.0,99380.0
20220218:1900,25.2,81.75,0.0,-0.0,0.0,391.5,0.34,111.0,99340.0
20220218:2000,24.34,90.1,0.0,-0.0,0.0,393.85,0.62,37.0,99280.0
20220218:2100,23.5,96.2,0.0,-0.0,0.0,385.7,0.97,39.0,99250.0
20220218:2200,23.07,93.05,0.0,-0.0,0.0,386.1,1.03,52.0,99230.0
20220218:2300,22.71,96.15,0.0,-0.0,0.0,384.75,0.97,65.0,99230.0
20220219:0000,22.19,96.15,0.0,-0.0,0.0,375.85,0.97,73.0,99280.0
20220219:0100,22.16,96.15,0.0,-0.0,0.0,374.0,1.24,80.0,99340.0
20220219:0200,22.39,96.15,233.4,822.07,82.6,382.8,0.9,84.0,99420.0
20220219:0300,25.21,76.5,461.8,841.92,108.5,377.95,0.69,86.0,99490.0
20220219:0400,27.31,65.1,702.9,914.74,131.25,381.25,0.41,101.0,99530.0
20220219:0500,29.22,57.3,871.05,925.34,144.35,381.65,0.28,168.0,99510.0
20220219:0600,31.08,48.9,924.95,831.37,185.1,389.2,0.48,209.0,99450.0
20220219:0700,32.22,44.45,890.15,739.25,201.5,397.5,0.69,215.0,99350.0
20220219:0800,33.18,40.4,820.0,703.22,181.9,403.5,1.1,212.0,99230.0
20220219:0900,33.75,37.9,581.0,517.89,156.8,411.45,1.45,211.0,99120.0
20220219:1000,33.52,39.05,414.45,388.0,153.45,409.7,2.0,214.0,99030.0
20220219:1100,32.67,43.1,263.3,304.95,117.5,424.4,2.41,228.0,99000.0
20220219:1200,30.84,53.9,67.4,125.87,36.1,418.2,2.34,247.0,99030.0
20220219:1300,29.16,63.3,0.0,-0.0,0.0,409.9,2.07,273.0,99140.0
20220219:1400,27.95,69.65,0.0,-0.0,0.0,411.85,1.72,273.0,99250.0
20220219:1500,26.96,74.25,0.0,-0.0,0.0,407.0,1.38,245.0,99400.0
20220219:1600,26.19,79.2,0.0,-0.0,0.0,407.0,1.1,210.0,99470.0
20220219:1700,25.75,81.8,0.0,-0.0,0.0,413.75,0.76,180.0,99520.0
20220219:1800,25.21,87.3,0.0,-0.0,0.0,400.8,0.48,71.0,99490.0
20220219:1900,24.95,87.25,0.0,-0.0,0.0,399.85,0.55,75.0,99450.0
20220219:2000,24.49,90.1,0.0,-0.0,0.0,396.55,0.76,83.0,99390.0
20220219:2100,24.12,90.1,0.0,-0.0,0.0,397.3,0.76,91.0,99350.0
20220219:2200,23.99,93.1,0.0,-0.0,0.0,397.1,0.97,101.0,99290.0
20220219:2300,23.75,90.1,0.0,-0.0,0.0,395.95,1.03,102.0,99290.0
20220220:0000,23.48,93.05,0.0,-0.0,0.0,393.65,1.03,102.0,99300.0
20220220:0100,23.49,93.05,0.0,-0.0,0.0,392.4,1.17,99.0,99380.0
20220220:0200,23.47,93.05,224.5,756.44,84.5,389.75,0.83,98.0,99470.0
20220220:0300,26.4,74.15,457.75,833.62,106.35,391.1,0.55,106.0,99590.0
20220220:0400,28.22,63.1,692.9,907.93,123.6,397.7,0.14,136.0,99630.0
20220220:0500,29.89,57.4,800.65,846.59,133.9,401.55,0.34,259.0,99610.0
20220220:0600,31.28,50.55,787.75,674.12,186.3,409.5,0.76,261.0,99520.0
20220220:0700,31.95,49.0,817.8,716.16,149.05,417.25,1.45,254.0,99380.0
20220220:0800,32.32,47.5,674.0,504.76,214.9,415.3,2.07,243.0,99280.0
20220220:0900,32.23,47.5,587.3,492.96,182.55,439.1,2.62,237.0,99180.0
20220220:1000,31.73,50.7,412.8,421.79,128.35,430.8,2.62,240.0,99100.0
20220220:1100,30.83,55.75,269.1,362.65,95.2,419.0,2.28,247.0,99090.0
20220220:1200,29.96,59.35,68.8,157.15,29.55,419.75,1.93,259.0,99140.0
20220220:1300,28.51,69.65,0.0,0.0,0.0,413.0,1.59,276.0,99210.0
20220220:1400,27.36,71.9,0.0,-0.0,0.0,410.3,1.38,290.0,99290.0
