Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200228:0730,679.19,151.36,25.76,71.19,33.88,1.03,0.0
20200228:0830,633.85,155.52,24.31,62.64,34.72,1.31,0.0
20200228:0930,471.64,148.92,18.82,50.13,34.97,1.59,0.0
20200228:1030,342.03,123.79,13.7,36.37,34.58,1.93,0.0
20200228:1130,217.78,76.31,8.02,22.11,33.55,2.69,0.0
20200228:1230,59.01,31.17,1.97,7.61,31.54,3.1,0.0
20200228:1330,0.0,0.0,0.0,0.0,29.4,2.41,0.0
20200228:1430,0.0,0.0,0.0,0.0,28.09,1.66,0.0
20200228:1530,0.0,0.0,0.0,0.0,27.42,0.83,0.0
20200228:1630,0.0,0.0,0.0,0.0,26.91,0.62,0.0
20200228:1730,0.0,0.0,0.0,0.0,26.17,0.97,0.0
20200228:1830,0.0,0.0,0.0,0.0,25.31,0.97,0.0
20200228:1930,0.0,0.0,0.0,0.0,25.88,1.03,0.0
20200228:2030,0.0,0.0,0.0,0.0,25.83,0.55,0.0
20200228:2130,0.0,0.0,0.0,0.0,25.7,0.69,0.0
20200228:2230,0.0,0.0,0.0,0.0,25.28,0.34,0.0
20200228:2330,0.0,0.0,0.0,0.0,24.73,0.48,0.0
20200229:0030,0.0,0.0,0.0,0.0,24.28,0.21,0.0
20200229:0130,46.18,19.39,1.22,4.25,24.0,0.34,0.0
20200229:0230,177.75,81.79,6.92,18.78,23.99,0.55,0.0
20200229:0330,383.12,112.27,14.32,33.11,25.13,0.28,0.0
20200229:0430,550.19,125.74,20.35,47.03,27.25,0.34,0.0
20200229:0530,655.58,124.92,23.99,59.95,29.52,0.41,0.0
20200229:0630,747.48,147.24,27.73,69.87,31.16,0.76,0.0
20200229:0730,436.1,233.11,20.83,71.19,32.79,1.17,0.0
20200229:0830,295.91,264.17,17.53,62.64,32.86,1.86,0.0
20200229:0930,201.13,205.05,12.7,50.13,32.65,2.41,0.0
20200229:1030,189.39,174.33,11.02,36.37,32.02,2.83,0.0
20200229:1130,133.98,90.34,6.35,22.11,31.22,2.76,0.0
20200229:1230,44.77,25.33,1.57,7.61,30.19,2.21,0.0
20200229:1330,0.0,0.0,0.0,0.0,28.95,1.66,0.0
20200229:1430,0.0,0.0,0.0,0.0,27.88,1.24,0.0
20200229:1530,0.0,0.0,0.0,0.0,27.18,1.1,0.0
20200229:1630,0.0,0.0,0.0,0.0,26.69,0.83,0.0
20200229:1730,0.0,0.0,0.0,0.0,26.24,0.62,0.0
20200229:1830,0.0,0.0,0.0,0.0,25.66,0.62,0.0
20200229:1930,0.0,0.0,0.0,0.0,25.71,1.1,0.0
20200229:2030,0.0,0.0,0.0,0.0,25.19,0.62,0.0
20200229:2130,0.0,0.0,0.0,0.0,25.22,0.21,0.0
20200229:2230,0.0,0.0,0.0,0.0,24.94,0.21,0.0
20200229:2330,0.0,0.0,0.0,0.0,24.52,0.48,0.0
20200301:0030,0.0,0.0,0.0,0.0,24.26,0.55,0.0
20200301:0130,43.2,21.09,1.27,4.36,24.01,0.62,0.0
20200301:0230,152.19,83.95,6.44,18.91,24.32,0.34,0.0
20200301:0330,329.99,117.2,13.08,33.26,25.8,0.21,0.0
20200301:0430,486.28,168.27,19.82,47.22,28.12,0.14,0.0
20200301:0530,625.94,153.54,24.07,60.21,30.24,0.34,0.0
20200301:0630,591.07,211.94,24.97,70.22,32.08,0.69,0.0
20200301:0730,529.68,226.77,23.56,71.53,33.22,0.97,0.0
20200301:0830,336.99,262.15,18.74,62.85,33.82,1.59,0.0
20200301:0930,128.89,222.38,11.25,50.26,33.64,2.0,0.0
20200301:1030,167.23,140.57,9.4,36.45,32.65,2.83,0.0
20200301:1130,150.62,86.57,6.7,22.16,31.36,2.97,0.0
20200301:1230,46.15,30.56,1.77,7.65,30.15,2.55,0.0
20200301:1330,0.0,0.0,0.0,0.0,28.8,2.0,0.0
20200301:1430,0.0,0.0,0.0,0.0,27.92,1.52,0.0
20200301:1530,0.0,0.0,0.0,0.0,27.39,1.1,0.0
20200301:1630,0.0,0.0,0.0,0.0,26.39,0.41,0.0
20200301:1730,0.0,0.0,0.0,0.0,25.71,0.55,0.0
20200301:1830,0.0,0.0,0.0,0.0,25.47,0.76,0.0
20200301:1930,0.0,0.0,0.0,0.0,24.9,0.62,0.0
20200301:2030,0.0,0.0,0.0,0.0,24.75,0.48,0.0
20200301:2130,0.0,0.0,0.0,0.0,24.66,0.48,0.0
20200301:2230,0.0,0.0,0.0,0.0,24.55,0.48,0.0
20200301:2330,0.0,0.0,0.0,0.0,24.31,0.34,0.0
20200302:0030,0.0,0.0,0.0,0.0,24.58,0.0,0.0
20200302:0130,26.68,17.03,0.95,4.48,24.18,0.28,0.0
20200302:0230,72.07,78.7,4.41,19.04,23.87,0.48,0.0
20200302:0330,132.93,143.38,8.51,33.42,24.55,0.28,0.0
20200302:0430,180.25,173.22,11.11,47.41,25.26,0.0,0.0
20200302:0530,474.27,184.44,20.48,60.47,26.22,0.28,0.0
20200302:0630,455.61,192.61,20.34,70.58,28.45,0.62,0.0
20200302:0730,468.72,173.84,20.18,71.88,29.39,0.83,0.0
20200302:0830,412.28,173.77,18.32,63.06,30.61,1.17,0.0
20200302:0930,439.98,136.88,17.72,50.38,30.83,1.45,0.0
20200302:1030,267.22,108.72,11.29,36.52,31.5,1.72,0.0
20200302:1130,172.86,86.33,7.32,22.21,31.05,1.79,0.0
20200302:1230,35.07,22.69,1.37,7.67,30.29,1.72,0.0
20200302:1330,0.0,0.0,0.0,0.0,28.87,1.93,0.0
20200302:1430,0.0,0.0,0.0,0.0,27.62,1.86,0.0
20200302:1530,0.0,0.0,0.0,0.0,26.81,1.52,0.0
20200302:1630,0.0,0.0,0.0,0.0,26.36,1.31,0.0
20200302:1730,0.0,0.0,0.0,0.0,25.95,1.03,0.0
20200302:1830,0.0,0.0,0.0,0.0,25.55,0.62,0.0
20200302:1930,0.0,0.0,0.0,0.0,26.26,0.07,0.0
20200302:2030,0.0,0.0,0.0,0.0,25.32,1.1,0.0
20200302:2130,0.0,0.0,0.0,0.0,24.75,1.03,0.0
20200302:2230,0.0,0.0,0.0,0.0,24.28,0.97,0.0
20200302:2330,0.0,0.0,0.0,0.0,24.19,0.76,0.0
20200303:0030,0.0,0.0,0.0,0.0,24.15,0.48,0.0
20200303:0130,10.52,9.95,0.5,4.6,24.3,0.55,0.0
20200303:0230,33.05,47.15,2.45,19.18,24.19,0.69,0.0
20200303:0330,67.79,95.03,5.16,33.58,24.49,0.48,0.0
20200303:0430,104.46,127.15,7.44,47.61,24.86,0.28,0.0
20200303:0530,266.64,153.64,13.3,60.73,26.11,0.41,0.0
20200303:0630,368.22,199.48,17.96,70.94,27.64,0.76,0.0
20200303:0730,365.46,243.15,19.26,72.23,30.37,1.31,0.0
20200303:0830,351.05,189.77,17.04,63.26,31.26,1.59,0.0
20200303:0930,274.58,132.77,12.71,50.5,31.01,1.86,0.0
20200303:1030,104.24,121.34,7.1,36.6,30.22,1.45,0.0
20200303:1130,144.35,67.37,6.06,22.25,28.48,0.97,0.0
20200303:1230,38.38,27.47,1.6,7.7,27.35,0.34,0.0
20200303:1330,0.0,0.0,0.0,0.0,26.76,0.21,0.0
20200303:1430,0.0,0.0,0.0,0.0,26.3,0.28,0.0
20200303:1530,0.0,0.0,0.0,0.0,26.09,0.83,0.0
20200303:1630,0.0,0.0,0.0,0.0,25.38,0.69,0.0
20200303:1730,0.0,0.0,0.0,0.0,25.22,0.48,0.0
20200303:1830,0.0,0.0,0.0,0.0,24.9,0.41,0.0
20200303:1930,0.0,0.0,0.0,0.0,25.13,0.62,0.0
20200303:2030,0.0,0.0,0.0,0.0,24.61,0.41,0.0
20200303:2130,0.0,0.0,0.0,0.0,24.41,0.28,0.0
20200303:2230,0.0,0.0,0.0,0.0,24.07,0.34,0.0
20200303:2330,0.0,0.0,0.0,0.0,23.92,0.69,0.0
20200304:0030,0.0,0.0,0.0,0.0,23.72,0.62,0.0
20200304:0130,34.48,19.64,1.2,4.72,23.5,0.41,0.0
20200304:0230,117.23,71.04,5.38,19.31,23.49,0.21,0.0
20200304:0330,317.85,115.7,13.0,33.74,24.8,0.28,0.0
20200304:0430,414.63,187.17,18.6,47.8,27.15,0.34,0.0
20200304:0530,422.81,240.39,20.83,60.98,28.48,0.62,0.0
20200304:0630,582.05,193.41,24.49,71.3,30.18,1.03,0.0
20200304:0730,567.28,194.1,24.06,72.57,32.14,1.66,0.0
20200304:0830,463.27,190.07,20.57,63.46,32.92,2.07,0.0
20200304:0930,394.83,157.83,17.19,50.61,32.64,2.14,0.0
20200304:1030,259.4,142.91,12.26,36.66,31.7,1.66,0.0
20200304:1130,114.61,104.4,6.48,22.29,31.31,0.97,0.0
20200304:1230,14.94,31.81,1.34,7.73,29.43,0.76,0.0
20200304:1330,0.0,0.0,0.0,0.0,28.52,0.83,0.0
20200304:1430,0.0,0.0,0.0,0.0,27.95,0.83,0.0
20200304:1530,0.0,0.0,0.0,0.0,27.36,0.83,0.0
20200304:1630,0.0,0.0,0.0,0.0,26.93,0.83,0.0
20200304:1730,0.0,0.0,0.0,0.0,26.46,0.9,0.0
20200304:1830,0.0,0.0,0.0,0.0,25.91,0.9,0.0
20200304:1930,0.0,0.0,0.0,0.0,26.41,0.34,0.0
20200304:2030,0.0,0.0,0.0,0.0,26.41,0.28,0.0
20200304:2130,0.0,0.0,0.0,0.0,25.96,0.28,0.0
20200304:2230,0.0,0.0,0.0,0.0,24.94,0.62,0.0
20200304:2330,0.0,0.0,0.0,0.0,24.45,0.41,0.0
20200305:0030,0.0,0.0,0.0,0.0,24.27,0.97,0.0
20200305:0130,24.11,15.28,0.92,4.84,23.83,0.97,0.0
20200305:0230,78.85,61.65,4.14,19.45,23.79,0.69,0.0
20200305:0330,133.52,105.74,7.45,33.9,24.61,0.28,0.0
20200305:0430,248.73,139.87,12.23,48.0,25.85,0.28,0.0
20200305:0530,251.52,165.97,13.35,61.24,27.23,0.34,0.0
20200305:0630,383.33,186.18,18.17,71.67,28.46,0.55,0.0
20200305:0730,479.91,200.14,21.62,72.92,29.2,0.34,0.0
20200305:0830,559.42,170.85,23.08,63.65,30.38,0.41,0.0
20200305:0930,503.6,137.64,20.02,50.72,31.59,0.9,0.0
20200305:1030,309.43,128.97,13.38,36.73,32.02,1.1,0.0
20200305:1130,151.56,76.94,6.66,22.33,31.66,1.38,0.0
20200305:1230,47.63,29.7,1.88,7.75,30.25,1.66,0.0
20200305:1330,0.0,0.0,0.0,0.0,29.07,1.17,0.0
20200305:1430,0.0,0.0,0.0,0.0,27.7,0.76,0.0
20200305:1530,0.0,0.0,0.0,0.0,27.39,0.69,0.0
20200305:1630,0.0,0.0,0.0,0.0,26.9,0.76,0.0
20200305:1730,0.0,0.0,0.0,0.0,26.4,0.83,0.0
20200305:1830,0.0,0.0,0.0,0.0,25.89,0.76,0.0
20200305:1930,0.0,0.0,0.0,0.0,25.6,0.55,0.0
20200305:2030,0.0,0.0,0.0,0.0,25.26,0.41,0.0
20200305:2130,0.0,0.0,0.0,0.0,24.83,0.41,0.0
20200305:2230,0.0,0.0,0.0,0.0,24.26,0.55,0.0
20200305:2330,0.0,0.0,0.0,0.0,24.22,0.76,0.0
20200306:0030,0.0,0.0,0.0,0.0,23.96,0.9,0.0
20200306:0130,35.39,16.74,1.18,4.97,23.45,0.69,0.0
20200306:0230,149.54,81.93,6.67,19.59,23.66,0.41,0.0
20200306:0330,325.65,104.52,13.1,34.06,25.25,0.34,0.0
20200306:0430,477.44,154.33,19.76,48.19,26.88,0.28,0.0
20200306:0530,545.77,153.57,22.21,61.5,29.45,0.14,0.0
20200306:0630,625.19,167.0,25.3,72.03,30.71,0.55,0.0
20200306:0730,511.25,168.45,21.73,73.26,32.18,0.83,0.0
20200306:0830,543.17,182.36,23.04,63.84,32.67,1.38,0.0
20200306:0930,417.9,172.9,18.56,50.83,33.26,1.72,0.0
20200306:1030,311.56,104.47,12.79,36.79,32.9,1.79,0.0
20200306:1130,171.98,73.12,7.16,22.37,32.11,1.66,0.0
20200306:1230,54.69,31.32,2.09,7.77,30.91,1.86,0.0
20200306:1330,0.0,0.0,0.0,0.0,29.51,1.52,0.0
20200306:1430,0.0,0.0,0.0,0.0,28.35,1.31,0.0
20200306:1530,0.0,0.0,0.0,0.0,27.48,1.1,0.0
20200306:1630,0.0,0.0,0.0,0.0,26.58,0.62,0.0
20200306:1730,0.0,0.0,0.0,0.0,26.53,0.41,0.0
20200306:1830,0.0,0.0,0.0,0.0,26.36,0.28,0.0
20200306:1930,0.0,0.0,0.0,0.0,26.03,0.55,0.0
20200306:2030,0.0,0.0,0.0,0.0,25.24,0.69,0.0
20200306:2130,0.0,0.0,0.0,0.0,24.61,0.28,0.0
20200306:2230,0.0,0.0,0.0,0.0,24.36,0.48,0.0
20200306:2330,0.0,0.0,0.0,0.0,24.32,0.76,0.0
20200307:0030,0.0,0.0,0.0,0.0,24.23,0.83,0.0
20200307:0130,32.91,16.69,1.17,5.09,23.99,0.9,0.0
20200307:0230,114.42,61.25,5.17,19.73,23.92,0.55,0.0
20200307:0330,308.59,123.7,13.27,34.22,24.94,0.41,0.0
20200307:0430,421.09,144.1,17.81,48.39,26.8,0.62,0.0
20200307:0530,483.01,173.44,20.95,61.76,28.45,0.76,0.0
20200307:0630,574.03,197.95,24.74,72.4,29.72,0.97,0.0
20200307:0730,663.79,156.74,26.38,73.6,31.61,1.52,0.0
20200307:0830,498.68,208.16,22.55,64.03,32.62,1.79,0.0
20200307:0930,439.02,144.05,18.44,50.93,32.72,2.0,0.0
20200307:1030,361.09,118.87,14.82,36.85,32.63,1.86,0.0
20200307:1130,151.05,88.42,7.12,22.4,32.38,1.59,0.0
20200307:1230,30.46,33.34,1.72,7.78,31.21,1.79,0.0
20200307:1330,0.0,0.0,0.0,0.0,29.56,1.86,0.0
20200307:1430,0.0,0.0,0.0,0.0,28.19,1.59,0.0
20200307:1530,0.0,0.0,0.0,0.0,27.24,1.1,0.0
20200307:1630,0.0,0.0,0.0,0.0,26.41,0.76,0.0
20200307:1730,0.0,0.0,0.0,0.0,26.11,0.69,0.0
20200307:1830,0.0,0.0,0.0,0.0,25.72,0.9,0.0
20200307:1930,0.0,0.0,0.0,0.0,25.41,0.48,0.0
20200307:2030,0.0,0.0,0.0,0.0,25.4,0.55,0.0
20200307:2130,0.0,0.0,0.0,0.0,25.03,0.62,0.0
20200307:2230,0.0,0.0,0.0,0.0,24.58,0.69,0.0
20200307:2330,0.0,0.0,0.0,0.0,24.41,0.76,0.0
20200308:0030,0.0,0.0,0.0,0.0,24.35,0.69,0.0
20200308:0130,15.63,21.13,1.02,5.22,24.38,0.69,0.0
20200308:0230,81.38,87.2,5.15,19.87,24.79,0.28,0.0
20200308:0330,252.41,140.45,12.21,34.38,25.9,0.34,0.0
20200308:0430,426.21,163.16,18.67,48.59,27.46,0.55,0.0
20200308:0530,517.21,164.46,21.87,62.02,29.33,0.55,0.0
20200308:0630,646.42,147.78,25.66,72.76,30.47,0.97,0.0
20200308:0730,563.69,167.51,23.6,73.94,32.15,1.31,0.0
20200308:0830,569.13,175.54,23.91,64.21,32.16,2.0,0.0
20200308:0930,415.35,158.1,18.23,51.02,32.28,2.07,0.0
20200308:1030,231.6,143.92,11.78,36.9,31.7,2.14,0.0
20200308:1130,160.25,85.93,7.37,22.43,30.46,2.55,0.0
20200308:1230,48.19,30.44,2.01,7.8,29.42,2.34,0.0
20200308:1330,0.0,0.0,0.0,0.0,28.28,1.59,0.0
20200308:1430,0.0,0.0,0.0,0.0,27.43,1.17,0.0
20200308:1530,0.0,0.0,0.0,0.0,26.99,0.97,0.0
20200308:1630,0.0,0.0,0.0,0.0,26.55,0.69,0.0
20200308:1730,0.0,0.0,0.0,0.0,26.3,0.55,0.0
20200308:1830,0.0,0.0,0.0,0.0,25.93,0.34,0.0
20200308:1930,0.0,0.0,0.0,0.0,26.19,0.62,0.0
20200308:2030,0.0,0.0,0.0,0.0,25.9,0.41,0.0
20200308:2130,0.0,0.0,0.0,0.0,25.91,0.41,0.0
20200308:2230,0.0,0.0,0.0,0.0,25.71,0.21,0.0
20200308:2330,0.0,0.0,0.0,0.0,25.78,0.07,0.0
20200309:0030,0.0,0.0,0.0,0.0,25.52,0.28,0.0
20200309:0130,22.37,14.38,0.95,5.35,25.31,0.28,0.0
20200309:0230,108.46,92.13,6.08,20.02,25.34,0.34,0.0
20200309:0330,232.44,144.42,11.82,34.54,26.75,0.14,0.0
20200309:0430,387.5,187.94,18.33,48.78,28.33,0.41,0.0
20200309:0530,506.83,208.27,23.01,62.28,30.25,0.48,0.0
20200309:0630,608.39,175.68,25.42,73.13,31.62,0.76,0.0
20200309:0730,519.6,171.08,22.41,74.27,32.71,1.17,0.0
20200309:0830,431.39,159.65,19.12,64.38,32.75,1.52,0.0
20200309:0930,319.03,156.31,15.25,51.11,32.14,1.93,0.0
20200309:1030,229.46,116.56,10.93,36.95,31.21,1.86,0.0
20200309:1130,147.59,63.82,6.4,22.46,30.34,1.52,0.0
20200309:1230,45.94,24.12,1.81,7.81,28.59,2.0,0.0
20200309:1330,0.0,0.0,0.0,0.0,27.69,1.52,0.0
20200309:1430,0.0,0.0,0.0,0.0,27.15,1.03,0.0
20200309:1530,0.0,0.0,0.0,0.0,26.78,0.62,0.0
20200309:1630,0.0,0.0,0.0,0.0,26.59,0.55,0.0
20200309:1730,0.0,0.0,0.0,0.0,26.48,0.76,0.0
20200309:1830,0.0,0.0,0.0,0.0,26.11,0.83,0.0
20200309:1930,0.0,0.0,0.0,0.0,25.87,0.34,0.0
20200309:2030,0.0,0.0,0.0,0.0,25.91,0.48,0.0
20200309:2130,0.0,0.0,0.0,0.0,25.63,0.55,0.0
20200309:2230,0.0,0.0,0.0,0.0,25.73,0.62,0.0
20200309:2330,0.0,0.0,0.0,0.0,25.48,0.55,0.0
20200310:0030,0.0,0.0,0.0,0.0,25.62,0.69,0.0
20200310:0130,9.1,8.49,0.49,5.49,25.59,0.76,0.0
20200310:0230,14.06,43.33,1.89,20.16,25.37,0.34,0.0
20200310:0330,40.58,118.89,5.3,34.71,25.06,0.0,0.0
20200310:0430,162.8,149.07,10.17,48.98,25.35,0.34,0.0
20200310:0530,333.6,184.21,16.83,62.53,26.35,0.14,0.0
20200310:0630,398.37,210.48,19.83,73.5,28.08,0.34,0.0
20200310:0730,401.96,243.9,21.0,74.61,30.08,0.55,0.0
20200310:0830,384.28,202.02,19.03,64.55,31.6,1.03,0.0
20200310:0930,268.84,258.25,16.99,51.2,32.28,1.24,0.0
20200310:1030,242.36,131.56,11.87,37.0,32.38,1.38,0.0
20200310:1130,129.85,99.19,7.05,22.48,31.84,1.93,0.0
20200310:1230,32.26,35.28,1.89,7.82,30.56,2.28,0.0
20200310:1330,0.0,0.0,0.0,0.0,29.09,2.14,0.0
20200310:1430,0.0,0.0,0.0,0.0,28.0,1.59,0.0
20200310:1530,0.0,0.0,0.0,0.0,27.5,0.97,0.0
20200310:1630,0.0,0.0,0.0,0.0,27.18,0.28,0.0
20200310:1730,0.0,0.0,0.0,0.0,26.73,0.41,0.0
20200310:1830,0.0,0.0,0.0,0.0,26.3,0.69,0.0
20200310:1930,0.0,0.0,0.0,0.0,26.18,0.69,0.0
20200310:2030,0.0,0.0,0.0,0.0,25.69,0.62,0.0
20200310:2130,0.0,0.0,0.0,0.0,25.5,0.62,0.0
20200310:2230,0.0,0.0,0.0,0.0,25.33,0.69,0.0
20200310:2330,0.0,0.0,0.0,0.0,25.09,0.69,0.0
20200311:0030,0.0,0.0,0.0,0.0,24.84,0.69,0.0
20200311:0130,28.26,20.2,1.33,5.62,24.75,0.48,0.0
20200311:0230,110.92,76.48,5.78,20.31,25.21,0.28,0.0
20200311:0330,300.08,112.36,13.09,34.87,26.51,0.28,0.0
20200311:0430,405.46,115.75,16.89,49.17,28.31,0.55,0.0
20200311:0530,475.29,161.28,20.77,62.79,29.33,0.69,0.0
20200311:0630,475.8,183.4,21.58,73.86,30.74,0.9,0.0
20200311:0730,602.71,152.73,24.79,74.94,31.23,1.03,0.0
20200311:0830,596.35,158.14,24.66,64.71,32.28,1.31,0.0
20200311:0930,395.32,129.36,17.02,51.28,33.02,1.72,0.0
20200311:1030,331.59,120.95,14.41,37.04,32.17,1.93,0.0
20200311:1130,146.87,85.8,7.19,22.5,31.67,2.14,0.0
20200311:1230,42.72,27.12,1.9,7.83,30.29,2.34,0.0
20200311:1330,0.0,0.0,0.0,0.0,28.87,1.93,0.0
20200311:1430,0.0,0.0,0.0,0.0,27.79,1.38,0.0
20200311:1530,0.0,0.0,0.0,0.0,26.82,0.34,0.0
20200311:1630,0.0,0.0,0.0,0.0,26.49,0.48,0.0
20200311:1730,0.0,0.0,0.0,0.0,25.28,0.69,0.0
20200311:1830,0.0,0.0,0.0,0.0,24.8,0.76,0.0
20200311:1930,0.0,0.0,0.0,0.0,25.25,0.83,0.0
20200311:2030,0.0,0.0,0.0,0.0,25.03,0.97,0.0
20200311:2130,0.0,0.0,0.0,0.0,24.32,0.9,0.0
20200311:2230,0.0,0.0,0.0,0.0,24.34,0.41,0.0
20200311:2330,0.0,0.0,0.0,0.0,24.36,0.41,0.0
20200312:0030,0.0,0.0,0.0,0.0,24.02,0.9,0.0
20200312:0130,1.81,9.54,0.37,5.76,23.83,0.83,0.0
20200312:0230,14.01,51.14,2.17,20.45,24.25,0.34,0.0
20200312:0330,112.03,141.37,8.26,35.03,25.51,0.28,0.0
20200312:0430,215.13,209.55,13.87,49.37,26.13,0.34,0.0
20200312:0530,472.65,216.2,22.51,63.04,27.98,0.28,0.0
20200312:0630,537.46,237.23,25.39,74.23,30.07,0.41,0.0
20200312:0730,625.65,180.68,26.55,75.27,31.91,0.9,0.0
20200312:0830,590.26,177.78,25.2,64.86,32.93,1.1,0.0
20200312:0930,454.74,146.89,19.6,51.36,33.46,1.45,0.0
20200312:1030,276.97,117.2,12.67,37.08,32.85,2.0,0.0
20200312:1130,175.97,82.85,8.04,22.52,31.54,2.28,0.0
20200312:1230,49.06,31.79,2.23,7.84,30.22,2.14,0.0
20200312:1330,0.0,0.0,0.0,0.0,28.85,1.52,0.0
20200312:1430,0.0,0.0,0.0,0.0,27.72,0.9,0.0
20200312:1530,0.0,0.0,0.0,0.0,27.15,0.76,0.0
20200312:1630,0.0,0.0,0.0,0.0,27.21,0.34,0.0
20200312:1730,0.0,0.0,0.0,0.0,26.67,0.48,0.0
20200312:1830,0.0,0.0,0.0,0.0,26.38,0.83,0.0
20200312:1930,0.0,0.0,0.0,0.0,26.85,0.14,0.0
20200312:2030,0.0,0.0,0.0,0.0,26.37,0.28,0.0
20200312:2130,0.0,0.0,0.0,0.0,25.91,0.48,0.0
20200312:2230,0.0,0.0,0.0,0.0,25.48,0.69,0.0
20200312:2330,0.0,0.0,0.0,0.0,25.26,0.76,0.0
20200313:0030,0.0,0.0,0.0,0.0,25.09,0.83,0.0
20200313:0130,41.33,26.25,1.8,5.89,24.85,0.97,0.0
20200313:0230,181.46,79.03,8.1,20.6,25.26,0.69,0.0
20200313:0330,351.98,108.42,14.85,35.2,27.54,0.28,0.0
20200313:0430,476.7,126.57,19.79,49.56,29.2,0.07,0.0
20200313:0530,597.03,136.33,24.27,63.3,30.63,0.34,0.0
20200313:0630,685.36,151.04,27.78,74.6,32.18,0.62,0.0
20200313:0730,682.26,136.5,27.23,75.59,33.73,1.03,0.0
20200313:0830,650.05,129.96,25.87,65.01,34.27,1.45,0.0
20200313:0930,470.3,136.42,19.91,51.43,34.63,1.59,0.0
20200313:1030,332.14,96.29,13.88,37.12,34.19,2.14,0.0
20200313:1130,193.42,78.38,8.52,22.54,32.72,2.9,0.0
20200313:1230,52.16,31.2,2.34,7.84,30.93,2.62,0.0
20200313:1330,0.0,0.0,0.0,0.0,29.21,1.86,0.0
20200313:1430,0.0,0.0,0.0,0.0,28.1,1.52,0.0
20200313:1530,0.0,0.0,0.0,0.0,27.35,0.97,0.0
20200313:1630,0.0,0.0,0.0,0.0,27.28,0.21,0.0
20200313:1730,0.0,0.0,0.0,0.0,26.74,0.48,0.0
20200313:1830,0.0,0.0,0.0,0.0,26.37,0.9,0.0
20200313:1930,0.0,0.0,0.0,0.0,26.51,0.34,0.0
20200313:2030,0.0,0.0,0.0,0.0,25.95,0.69,0.0
20200313:2130,0.0,0.0,0.0,0.0,25.47,0.9,0.0
20200313:2230,0.0,0.0,0.0,0.0,25.22,0.69,0.0
20200313:2330,0.0,0.0,0.0,0.0,24.69,0.55,0.0
20200314:0030,0.0,0.0,0.0,0.0,24.16,0.76,0.0
20200314:0130,29.27,23.17,1.48,6.03,23.93,0.48,0.0
20200314:0230,117.45,88.08,6.53,20.75,25.33,0.48,0.0
20200314:0330,224.24,138.92,11.81,35.36,27.34,0.34,0.0
20200314:0430,449.03,104.78,18.33,49.75,29.18,0.62,0.0
20200314:0530,592.11,122.15,23.81,63.55,30.89,0.97,0.0
20200314:0630,715.74,135.61,28.48,74.97,32.31,1.17,0.0
20200314:0730,724.0,128.23,28.54,75.91,33.94,1.38,0.0
20200314:0830,600.36,149.71,24.95,65.15,34.49,1.72,0.0
20200314:0930,459.53,129.56,19.47,51.5,34.49,2.0,0.0
20200314:1030,320.15,122.87,14.43,37.15,33.7,2.34,0.0
20200314:1130,193.28,76.71,8.56,22.55,32.36,2.83,0.0
20200314:1230,41.88,31.87,2.15,7.85,30.78,2.62,0.0
20200314:1330,0.0,0.0,0.0,0.0,29.25,1.86,0.0
20200314:1430,0.0,0.0,0.0,0.0,28.3,1.03,0.0
20200314:1530,0.0,0.0,0.0,0.0,27.62,0.48,0.0
20200314:1630,0.0,0.0,0.0,0.0,27.64,0.21,0.0
20200314:1730,0.0,0.0,0.0,0.0,27.65,0.14,0.0
20200314:1830,0.0,0.0,0.0,0.0,26.92,0.97,0.0
20200314:1930,0.0,0.0,0.0,0.0,26.1,0.76,0.0
20200314:2030,0.0,0.0,0.0,0.0,25.72,0.83,0.0
20200314:2130,0.0,0.0,0.0,0.0,25.53,0.62,0.0
20200314:2230,0.0,0.0,0.0,0.0,25.46,0.55,0.0
20200314:2330,0.0,0.0,0.0,0.0,25.28,0.62,0.0
20200315:0030,0.0,0.0,0.0,0.0,25.03,0.62,0.0
20200315:0130,37.19,25.45,1.79,6.17,24.7,0.83,0.0
20200315:0230,178.71,78.61,8.21,20.9,25.58,0.55,0.0
20200315:0330,334.17,106.69,14.47,35.53,27.89,0.14,0.0
20200315:0430,486.74,135.72,20.68,49.95,29.72,0.34,0.0
20200315:0530,571.37,138.5,23.76,63.8,31.53,0.41,0.0
20200315:0630,453.32,201.24,21.82,75.33,32.82,0.83,0.0
20200315:0730,588.97,178.16,25.66,76.23,33.0,1.03,0.0
20200315:0830,511.92,147.22,22.03,65.29,33.69,1.52,0.0
20200315:0930,405.74,141.64,18.17,51.56,33.61,2.0,0.0
20200315:1030,309.86,111.61,13.85,37.18,32.6,2.28,0.0
20200315:1130,169.87,77.85,7.96,22.57,31.98,2.55,0.0
20200315:1230,44.61,30.61,2.23,7.85,30.7,2.34,0.0
20200315:1330,0.0,0.0,0.0,0.0,29.28,1.86,0.0
20200315:1430,0.0,0.0,0.0,0.0,28.18,1.1,0.0
20200315:1530,0.0,0.0,0.0,0.0,27.87,0.41,0.0
20200315:1630,0.0,0.0,0.0,0.0,27.13,0.28,0.0
20200315:1730,0.0,0.0,0.0,0.0,26.9,0.9,0.0
20200315:1830,0.0,0.0,0.0,0.0,26.15,1.24,0.0
